Bill Segment End Date,kWh Consumption Per Day
3/31/2024,1.59
7/17/2020,50.05
11/29/2023,96.75
8/4/2022,10.91
5/28/2021,66.01
2/7/2022,36.55
10/25/2022,84.3
10/10/2023,2.62
8/9/2021,69.7
1/24/2021,61.29
11/2/2021,11.99
2/5/2024,28.38
8/27/2021,72.35
2/27/2023,59.07
7/17/2021,27.82
10/5/2023,22.09
2/6/2020,77.58
7/26/2023,41.98
2/22/2023,80.12
2/13/2020,20.75
6/19/2021,28.79
2/3/2020,81.09
2/8/2022,98.54
5/4/2022,1.88
9/12/2023,28.87
7/4/2022,11.65
1/27/2020,5.29
7/24/2023,48.03
6/9/2022,13.58
9/18/2023,56.71
11/8/2021,39.49
3/23/2023,43.52
8/18/2023,90.54
3/1/2022,24.51
6/28/2021,79.95
3/19/2022,99.45
9/14/2021,95.14
1/14/2024,4.63
10/16/2023,44.4
4/4/2020,97.33
6/12/2020,16.36
9/9/2023,93.27
6/24/2023,45.76
6/17/2023,71.37
10/21/2023,58.51
5/14/2022,4.76
6/1/2021,15.12
3/5/2021,31.35
10/28/2020,73.26
8/17/2023,39.34
7/19/2020,80.76
9/15/2021,71.14
8/24/2021,33.82
12/8/2021,82.86
3/22/2022,98.29
3/4/2022,54.7
9/6/2022,99.75
9/27/2023,86.19
2/2/2023,3.37
8/16/2020,40.09
3/9/2020,58.64
2/18/2023,49.48
1/11/2021,73.0
6/11/2020,41.55
8/19/2021,24.3
4/15/2021,44.23
9/13/2020,35.34
11/1/2022,81.39
11/5/2022,62.96
2/20/2021,31.48
12/29/2020,93.58
3/21/2020,33.3
7/27/2020,29.07
12/3/2020,30.54
8/21/2020,21.01
2/7/2024,64.16
11/2/2022,89.7
10/22/2021,96.2
2/10/2022,33.96
7/31/2021,35.94
6/20/2021,89.69
7/13/2020,20.75
6/3/2023,73.94
1/17/2020,72.32
11/26/2021,29.23
7/5/2022,58.68
10/26/2020,19.02
8/4/2021,86.31
9/4/2020,39.02
7/7/2021,20.66
12/28/2022,91.88
8/16/2021,45.24
10/16/2020,75.56
1/5/2024,84.83
3/11/2021,74.32
10/16/2022,35.89
8/3/2020,41.4
8/18/2022,3.65
3/4/2022,25.34
10/30/2023,81.45
1/25/2021,35.33
8/21/2021,48.11
10/10/2020,99.84
4/23/2020,70.39
7/20/2021,74.15
8/23/2023,32.23
7/26/2021,31.98
2/11/2024,42.5
11/16/2022,68.1
2/1/2023,91.5
9/13/2020,86.45
12/21/2023,21.71
9/14/2020,69.5
6/22/2023,59.9
9/5/2021,18.77
5/3/2022,56.25
2/16/2022,31.43
3/20/2020,38.53
2/21/2024,32.76
12/28/2021,73.15
1/1/2022,25.47
2/26/2022,9.41
2/13/2022,97.31
7/25/2023,62.56
11/19/2020,36.45
6/6/2023,35.42
7/14/2023,87.42
11/30/2022,97.75
4/21/2023,67.79
9/5/2023,28.58
2/16/2021,12.33
12/1/2022,65.28
7/19/2021,73.08
2/10/2022,25.03
11/29/2020,19.22
12/4/2023,29.47
11/27/2021,62.66
11/22/2020,44.72
1/18/2020,80.19
1/17/2024,90.33
5/15/2022,82.71
4/28/2022,63.74
12/20/2020,4.53
1/27/2022,88.06
10/4/2022,77.22
11/8/2022,32.32
12/16/2023,90.12
1/7/2021,10.26
5/13/2021,65.89
5/19/2023,47.39
3/8/2023,12.38
1/17/2023,69.15
3/24/2023,93.13
1/25/2021,71.88
12/29/2021,30.19
3/8/2024,70.74
1/29/2020,47.09
4/23/2022,31.15
8/8/2020,66.35
6/29/2022,89.2
1/11/2020,91.73
10/29/2020,33.14
12/20/2021,58.41
2/19/2023,63.14
4/23/2021,66.86
10/27/2020,62.59
9/22/2022,81.96
11/28/2022,52.21
10/21/2021,93.48
10/8/2023,16.3
5/6/2022,55.8
12/28/2021,97.27
1/25/2021,78.93
3/19/2020,71.38
9/12/2020,34.22
2/23/2022,16.26
7/19/2021,87.43
9/26/2023,98.18
8/10/2023,41.45
10/26/2023,8.24
12/8/2023,44.35
11/6/2020,42.63
11/6/2022,71.67
11/21/2022,91.96
9/16/2022,5.27
10/11/2021,21.95
5/9/2023,81.9
11/27/2023,35.77
10/22/2020,5.18
12/13/2023,10.95
3/1/2024,95.49
12/18/2022,60.35
1/8/2024,37.73
1/26/2024,8.03
10/12/2023,1.74
10/14/2020,19.84
11/7/2021,59.09
5/25/2023,91.13
8/9/2023,88.02
3/9/2021,57.81
2/16/2020,82.5
10/17/2021,50.05
2/21/2021,44.46
12/24/2021,29.0
8/26/2023,24.02
12/28/2023,30.82
7/31/2023,94.19
3/13/2020,56.5
8/4/2020,94.6
11/18/2021,7.0
2/22/2022,4.0
7/12/2021,66.06
7/13/2021,16.6
9/28/2023,86.19
5/9/2020,33.15
7/22/2020,23.15
12/28/2020,20.12
2/26/2024,83.59
5/19/2020,25.21
10/30/2023,46.15
11/26/2020,58.94
1/1/2023,11.74
1/30/2020,22.49
8/9/2020,74.75
6/5/2021,38.72
6/16/2022,95.03
10/18/2022,68.99
5/1/2023,13.99
4/18/2022,65.38
3/30/2023,27.53
1/16/2022,51.28
1/10/2021,24.51
6/3/2021,55.55
11/16/2023,42.91
5/5/2022,37.66
2/23/2020,21.56
5/29/2020,22.47
5/10/2020,74.19
2/22/2022,71.75
10/8/2022,72.79
3/11/2023,8.61
4/2/2024,72.36
5/17/2023,62.42
9/2/2022,75.33
5/5/2022,75.77
8/3/2021,42.64
8/14/2023,66.41
12/8/2020,24.48
3/27/2023,93.97
11/19/2023,8.99
11/10/2022,33.45
2/16/2021,1.32
6/18/2022,89.33
9/4/2023,11.29
5/20/2022,46.48
10/12/2021,27.52
5/17/2022,51.03
9/7/2021,97.91
11/21/2022,9.45
2/12/2022,21.91
11/12/2020,70.98
7/6/2022,54.06
8/26/2022,17.85
8/18/2020,30.79
1/27/2024,93.18
9/24/2022,58.63
9/16/2023,77.27
2/1/2020,43.23
11/3/2020,54.18
5/25/2022,97.31
5/25/2020,81.5
9/18/2021,4.98
11/5/2020,84.65
2/11/2022,61.33
11/15/2023,42.83
2/14/2023,77.18
9/17/2022,77.82
2/19/2021,78.73
4/10/2023,92.75
12/4/2023,43.29
12/6/2023,10.37
12/28/2021,29.73
8/18/2020,60.1
2/19/2024,7.54
12/21/2021,45.69
11/14/2022,99.77
12/30/2020,62.75
2/25/2020,92.62
3/7/2021,86.19
12/16/2022,70.83
12/24/2021,6.89
1/18/2023,88.66
5/3/2022,64.8
11/7/2022,63.39
12/22/2021,79.01
2/20/2022,99.39
6/17/2021,38.76
5/23/2020,52.72
6/27/2021,96.06
1/2/2024,54.83
12/22/2022,14.34
9/6/2020,49.22
12/18/2023,85.5
9/10/2022,92.32
10/13/2023,25.32
12/12/2020,91.96
2/28/2023,47.12
10/29/2021,88.44
10/2/2022,92.18
11/26/2021,46.43
7/19/2021,83.18
7/22/2022,85.41
5/9/2020,93.38
7/18/2020,32.08
3/11/2023,19.16
4/28/2022,33.18
2/8/2022,10.45
8/30/2021,50.77
2/6/2023,78.73
5/10/2022,89.17
8/12/2022,31.17
1/9/2024,4.9
11/9/2021,98.92
6/20/2021,5.86
3/23/2021,79.81
7/9/2020,13.5
9/6/2023,80.62
3/31/2023,94.22
8/24/2022,95.35
8/31/2021,98.19
7/21/2023,4.24
5/27/2023,77.65
10/29/2022,69.74
9/23/2022,1.78
5/21/2023,18.22
6/9/2022,24.79
10/20/2021,76.15
4/27/2023,23.75
1/13/2021,59.06
10/7/2023,79.58
6/3/2021,32.84
2/27/2020,63.52
3/16/2021,1.85
9/28/2022,24.46
6/12/2023,70.03
3/27/2024,45.42
5/2/2020,80.97
3/3/2022,37.63
10/3/2022,1.03
10/21/2021,14.26
1/25/2022,60.58
8/25/2021,32.19
12/29/2020,79.55
1/10/2022,79.56
2/2/2022,43.34
4/1/2023,45.58
11/18/2023,90.58
8/29/2022,83.55
7/3/2023,75.15
5/28/2020,82.93
7/20/2023,41.58
9/15/2020,76.63
10/5/2021,51.43
3/20/2022,15.26
12/10/2023,5.62
9/5/2021,62.26
9/20/2020,94.56
9/10/2021,83.93
7/23/2023,26.61
12/31/2023,18.64
4/23/2021,39.3
8/14/2020,65.19
6/20/2022,22.34
6/9/2020,14.6
6/3/2023,34.22
11/16/2023,47.96
5/11/2023,37.52
7/9/2022,90.32
5/30/2022,54.99
5/14/2020,97.52
12/24/2020,35.18
9/5/2023,64.06
10/12/2023,44.18
1/24/2023,1.75
6/25/2023,64.9
4/28/2023,12.7
2/22/2020,48.67
4/26/2023,30.58
5/30/2022,88.26
7/24/2022,98.38
11/20/2022,65.39
11/21/2021,28.75
12/22/2022,81.83
2/25/2022,82.48
11/26/2021,85.16
8/21/2022,31.32
5/4/2023,9.88
10/3/2023,99.33
1/22/2024,68.63
5/27/2021,95.78
7/20/2020,9.96
4/8/2021,31.52
4/24/2022,18.85
10/12/2020,7.68
3/2/2021,13.93
8/4/2023,80.24
3/10/2023,43.5
5/12/2021,6.69
11/17/2021,76.52
3/19/2024,97.26
7/31/2022,48.68
4/15/2021,33.9
6/9/2022,7.44
4/6/2022,32.38
4/12/2021,12.14
2/12/2023,59.08
5/19/2020,92.01
2/19/2021,70.24
2/28/2023,27.17
2/22/2020,4.37
1/10/2023,14.92
2/23/2021,81.08
9/4/2021,16.52
1/12/2023,47.06
3/21/2022,40.65
1/16/2022,50.92
1/20/2021,27.4
2/12/2020,50.13
10/26/2022,7.25
11/30/2023,8.71
6/9/2023,45.45
5/9/2022,84.13
10/30/2023,92.43
4/18/2020,13.66
8/15/2021,61.21
12/1/2023,27.98
6/4/2022,63.08
3/21/2020,10.37
10/22/2023,93.48
12/3/2022,27.84
10/2/2021,24.83
1/4/2024,69.04
8/25/2020,5.74
4/27/2021,85.14
4/7/2020,75.49
8/24/2022,59.21
10/26/2021,82.19
7/22/2020,3.46
8/14/2020,82.18
9/1/2022,46.04
7/2/2022,54.54
12/31/2023,65.55
12/6/2020,5.21
1/1/2024,79.24
2/9/2020,83.04
1/27/2022,10.98
2/2/2024,2.34
7/10/2020,79.91
5/16/2022,85.57
5/29/2023,36.48
12/17/2020,57.21
11/15/2020,55.37
2/7/2023,66.07
11/16/2021,3.4
9/15/2022,8.25
10/3/2020,99.3
10/10/2022,66.23
6/2/2022,73.1
12/27/2023,48.37
2/4/2022,88.64
4/2/2024,43.64
11/22/2022,36.66
7/17/2021,15.95
5/23/2020,28.45
6/5/2023,43.12
5/24/2023,2.38
11/8/2021,65.79
3/8/2020,6.49
12/18/2022,83.04
8/6/2021,11.54
5/10/2021,37.28
12/26/2022,73.89
2/22/2021,32.95
11/1/2020,31.23
6/25/2022,41.23
6/16/2020,75.96
1/5/2020,46.75
11/15/2023,8.53
1/12/2024,58.55
6/16/2021,33.34
7/28/2021,79.4
7/12/2023,69.45
3/31/2023,7.96
3/17/2020,94.79
12/28/2020,41.33
9/9/2021,49.24
9/3/2020,3.93
9/3/2020,93.18
9/15/2020,49.6
3/27/2023,6.88
5/10/2022,27.76
8/16/2021,80.83
11/10/2020,96.91
8/21/2023,9.99
1/14/2021,15.24
8/21/2020,23.04
12/26/2023,67.7
7/11/2023,12.37
10/19/2020,67.92
2/19/2021,4.72
12/14/2023,82.63
12/13/2022,44.92
7/10/2023,36.34
11/24/2022,21.62
3/13/2022,43.89
2/15/2023,49.17
3/16/2024,80.19
10/12/2023,14.44
8/12/2020,62.29
6/2/2022,52.03
7/12/2020,88.17
6/2/2022,19.08
10/12/2023,30.49
8/30/2022,11.84
1/23/2020,42.95
7/29/2021,21.42
5/28/2022,88.58
12/28/2022,93.37
3/6/2024,22.07
8/8/2022,5.49
11/10/2023,90.29
5/13/2021,17.71
12/10/2020,46.61
9/24/2023,52.8
8/4/2022,21.85
3/6/2021,72.62
7/9/2022,31.35
1/19/2023,71.36
7/15/2021,99.07
3/26/2021,65.97
5/25/2022,15.82
11/4/2020,91.81
7/16/2023,41.83
10/7/2021,92.26
1/5/2023,87.2
6/12/2020,90.14
6/10/2022,81.19
4/3/2022,36.48
3/9/2021,46.51
3/22/2020,69.31
8/25/2021,70.49
4/10/2021,51.24
3/3/2021,61.96
5/11/2023,13.99
5/1/2022,42.92
2/18/2022,29.6
10/31/2022,75.29
2/5/2020,82.76
7/18/2020,18.58
8/3/2020,50.47
6/22/2020,53.83
7/26/2020,93.13
5/19/2021,43.16
11/19/2023,6.54
1/3/2022,94.39
3/12/2023,82.68
4/22/2022,46.93
5/6/2021,55.97
2/8/2024,24.83
8/24/2022,55.02
12/31/2022,53.41
3/21/2020,57.79
8/1/2020,35.65
9/30/2020,37.67
5/2/2022,87.85
4/17/2022,9.45
12/22/2022,79.59
8/25/2020,40.15
12/18/2020,4.57
11/2/2022,72.03
4/3/2024,59.07
1/18/2021,79.54
6/24/2020,82.84
3/2/2024,65.53
3/5/2022,77.03
8/18/2023,28.51
4/23/2020,3.83
8/3/2023,9.54
3/30/2021,83.0
2/3/2023,16.3
3/10/2024,1.66
3/18/2023,79.47
3/9/2023,48.73
7/6/2021,43.55
9/12/2023,90.71
9/17/2021,59.72
7/31/2022,91.13
3/12/2023,78.76
7/16/2022,70.87
2/15/2021,7.35
3/11/2021,37.92
6/27/2023,16.2
1/1/2022,82.33
7/25/2022,88.14
5/4/2023,19.44
3/28/2022,48.15
2/8/2022,98.75
9/21/2023,4.37
5/5/2022,69.9
8/23/2021,44.65
9/26/2022,14.69
3/31/2020,87.4
4/19/2021,34.19
10/28/2021,63.39
7/16/2021,52.75
1/3/2021,29.28
5/10/2021,57.13
8/4/2020,98.84
9/16/2021,93.22
8/12/2021,7.24
1/28/2022,3.65
4/19/2023,34.32
1/18/2023,46.86
8/6/2020,41.69
5/8/2023,12.79
7/27/2021,74.49
1/6/2020,57.56
8/7/2020,42.38
3/8/2021,46.45
12/15/2021,41.48
12/8/2022,48.05
3/22/2021,76.23
3/18/2022,47.31
8/27/2020,99.92
7/23/2023,19.27
1/26/2020,85.23
11/23/2021,91.92
11/16/2023,75.81
8/1/2022,24.84
2/10/2020,59.93
3/1/2021,81.72
10/27/2022,40.54
9/5/2023,7.52
11/6/2020,94.34
1/15/2023,9.65
10/4/2023,47.47
11/4/2020,89.52
12/18/2020,38.07
6/26/2023,61.96
5/30/2020,46.87
9/16/2021,43.09
8/1/2022,61.24
9/22/2023,20.08
5/14/2022,88.06
9/7/2020,35.35
2/26/2020,90.75
5/26/2020,60.91
7/9/2020,37.64
1/3/2020,43.09
4/23/2022,75.71
1/27/2022,97.97
1/27/2020,29.36
2/1/2022,3.67
4/25/2023,59.36
11/1/2020,78.0
8/15/2021,24.49
4/5/2020,54.1
6/8/2020,45.62
9/8/2021,58.49
9/11/2020,67.74
12/6/2023,73.69
6/4/2023,23.74
5/13/2021,40.9
11/13/2023,60.59
6/27/2020,63.93
2/25/2022,70.77
7/26/2022,13.29
3/8/2024,33.37
2/21/2022,68.96
9/18/2020,19.14
11/30/2021,73.38
7/15/2020,27.83
1/23/2021,24.48
10/28/2020,26.38
8/12/2022,63.03
9/22/2022,68.89
7/9/2022,40.04
10/25/2023,89.01
7/16/2022,59.15
8/13/2020,58.02
1/7/2023,57.71
10/6/2021,41.8
7/11/2023,79.01
3/22/2023,57.74
9/20/2020,8.21
6/11/2021,85.42
3/28/2021,79.87
5/29/2022,38.77
9/19/2022,87.09
3/3/2023,52.83
4/23/2021,13.24
3/29/2020,41.13
12/1/2021,99.39
3/23/2021,50.4
11/10/2020,45.58
10/20/2021,35.28
3/16/2023,52.94
10/21/2020,13.38
11/25/2022,50.0
11/15/2020,58.72
7/14/2020,42.96
11/24/2023,47.63
6/8/2022,55.54
2/28/2023,61.91
8/17/2022,9.92
12/24/2022,20.1
4/29/2022,73.14
12/23/2022,22.83
7/15/2020,10.37
10/12/2020,20.32
7/6/2020,57.45
5/8/2020,48.07
2/5/2020,77.39
10/18/2023,29.35
6/4/2020,74.73
4/2/2021,86.41
6/8/2023,88.38
7/11/2021,30.49
3/14/2020,56.1
6/9/2020,65.09
8/11/2023,24.71
5/31/2022,2.98
3/14/2022,53.26
9/18/2022,57.45
4/29/2023,76.45
7/22/2020,71.56
3/22/2023,75.48
10/12/2021,57.96
6/11/2020,65.26
6/25/2023,88.49
6/25/2023,80.61
3/19/2024,85.28
8/13/2020,90.57
1/19/2023,95.4
3/21/2024,1.65
8/21/2020,81.73
12/22/2021,38.81
5/22/2020,88.96
11/4/2022,30.5
6/25/2020,78.29
4/8/2023,84.49
